0,0,4,6,112,74,4,0,0,0,0
0,1,6,15,138,107,3,0,0,0,0
0,0,1,3,59,109,6,0,0,0,0
0,0,3,2,50,63,3,0,0,0,0
0,0,2,3,82,63,4,0,0,0,0
0,2,1,4,52,49,0,0,0,0,0
0,0,3,12,138,120,2,0,0,0,0
0,0,4,1,45,50,7,0,0,0,0
0,0,4,11,107,77,16,0,0,0,0
0,0,0,5,60,46,3,0,0,0,0
0,0,1,5,40,68,0,0,0,0,0
0,0,2,5,64,52,3,0,0,0,0
0,2,5,15,205,270,19,2,0,0,0
0,0,4,8,89,110,1,0,0,0,0
0,1,8,12,260,175,5,0,0,0,0
0,0,0,4,67,71,8,0,0,0,0
0,0,0,3,233,220,13,1,0,0,0
0,0,3,5,43,45,8,0,1,0,0
0,0,4,7,52,60,5,0,0,0,0
0,0,4,13,218,281,18,0,0,0,0
0,0,1,3,48,39,7,0,0,0,0
0,0,1,13,78,89,8,0,0,0,0
0,0,0,8,81,121,11,1,0,0,0
0,1,0,7,84,57,3,2,0,0,0
0,0,1,1,80,43,12,0,0,0,0
0,0,2,3,42,56,7,0,0,0,0
0,0,2,2,84,85,11,0,0,0,0
0,0,4,9,360,509,18,1,0,0,0
0,0,1,6,67,69,4,0,0,0,0
0,0,1,0,63,55,0,0,0,0,0
0,0,1,2,90,113,0,0,0,0,0
0,0,2,3,55,64,11,1,0,0,0
0,1,3,6,61,31,1,0,0,0,0
0,0,0,2,56,121,11,0,0,0,0
0,0,7,7,70,90,5,0,0,0,0
0,0,1,7,89,101,8,0,0,0,0
0,1,5,8,99,59,4,0,0,0,0
0,1,1,7,64,92,15,0,0,0,0
0,0,2,5,179,216,14,0,0,0,0
0,0,4,5,142,138,11,0,0,0,0
0,0,0,2,55,68,1,0,0,0,0
0,0,4,9,69,111,4,0,0,0,0
0,0,1,0,24,21,0,0,0,0,0
0,0,3,2,66,75,5,1,0,0,0
0,0,2,8,52,59,3,0,0,0,0
0,0,0,1,75,151,15,0,0,0,0
0,0,1,4,57,84,2,0,0,0,0
0,0,2,3,83,89,13,0,0,0,0
0,0,6,7,69,55,5,0,0,0,0
0,0,1,7,138,124,0,0,0,0,0
0,0,0,1,38,51,14,0,0,0,0
0,0,6,8,119,98,4,0,0,0,0
0,0,5,7,91,100,1,0,0,0,0
0,0,3,8,90,76,3,0,0,0,0
0,0,2,5,105,97,6,0,0,0,0
0,0,5,4,86,84,3,0,0,0,0
0,0,3,6,75,86,9,0,0,0,0
0,0,1,6,99,90,6,0,0,0,0
0,0,2,7,37,54,1,0,0,0,0
0,0,6,5,63,42,4,0,0,0,0
0,0,2,9,260,208,19,0,0,0,0
0,1,5,12,184,222,16,1,0,0,0
0,0,2,4,47,58,4,0,0,0,0
0,0,1,9,63,33,3,0,0,0,0
0,0,6,4,59,72,0,0,0,0,0
0,0,3,9,80,80,7,1,0,2,0
0,0,3,7,74,77,1,1,0,0,0
0,0,1,1,49,54,9,0,1,0,0
0,1,1,4,57,61,12,0,0,0,0
0,0,3,4,43,38,3,0,0,0,0
0,0,1,6,34,49,8,0,0,0,0
0,0,1,4,24,9,2,0,0,0,0
0,0,2,3,57,62,2,0,0,0,0
0,0,2,14,76,115,9,0,0,0,0
0,0,6,4,61,53,0,0,0,0,0
0,0,2,6,38,90,2,0,0,0,0
0,0,2,6,54,70,2,0,0,0,0
0,0,2,5,86,84,0,0,0,0,0
0,0,0,2,26,46,3,0,0,0,0
0,0,0,3,41,61,1,0,0,0,0
0,0,0,3,88,100,4,0,0,0,0
0,0,1,3,60,96,2,0,0,0,0
0,0,5,18,181,226,15,0,0,0,0
0,0,0,5,140,194,21,0,0,0,0
0,0,1,3,83,71,1,0,0,0,0
0,0,0,4,65,66,1,0,0,0,0
0,0,1,3,57,46,0,0,0,0,0
0,0,9,22,347,447,32,1,0,0,0
0,0,1,6,57,50,1,0,0,0,0
0,0,1,11,123,173,13,0,0,0,0
0,1,0,10,94,67,8,0,0,0,0
0,0,2,5,94,83,7,0,0,0,0
0,0,0,3,144,109,15,0,0,0,0
0,0,0,4,182,165,16,0,0,0,0
0,0,0,2,59,59,1,0,0,0,0
0,1,4,4,86,71,5,0,0,0,0
0,0,2,2,64,77,10,0,0,0,0
0,2,1,5,48,48,2,0,0,0,0
0,0,0,4,73,57,2,0,0,0,0
0,0,1,10,65,98,5,0,0,0,0
0,0,0,3,56,38,0,0,0,0,0
